A1: Ladder,B1: mat_wt_1,C1: mat_wt_2,D1: mat_wt_3,E1: mat_ds_1,F1: mat_ds_2,G1: mat_ds_3,H1: mat_s4_1,A2: mat_s4_2,B2: mat_s4_3,C2: mat_d3_1,D2: mat_d3_2,E2: mat_d3_3,F2: mat_s1_1,G2: mat_s1_2,H2: mat_s1_3,A3: mat_d7_1,B3: mat_d7_2,C3: mat_d7_3,D3: Ladder,E3: pro_wt_1,F3: pro_wt_2,G3: pro_wt_3,H3: pro_ds_1,A4: pro_ds_2,B4: pro_ds_3,C4: pro_s4_1,D4: pro_s4_2,E4: pro_s4_3,F4: pro_d3_1,G4: pro_d3_2,H4: pro_d3_3,A5: pro_s1_1,B5: pro_s1_2,C5: pro_s1_3,D5: pro_d7_1,E5: pro_d7_2,F5: pro_d7_3
2.379693,0.8433192,0.004931192,1.30662,1.599794,1.338186,0.6130698,1.037347,0.7706254,0.7577739,0.2265616,0,0,0,0,2.371777,1.184301,1.35484,0.2097803,0.1331827,0.5503775,0.9468814,0.6096674,0.7148821,0.4336458,0.208722,0,1.211017,0.4420876,1.177243,0.8719504,0.9468894,0.3078564,0.564485,0.9610494,1.79535,1.99347,0.1036613
2.814126,1.010127,0.07373294,1.093009,1.569187,0.5174458,0.6186402,0.9153888,0.2933351,0.796631,0.1213585,0,0,0,0,2.473724,0.6810734,1.277635,0.1675914,0.3972686,0.704188,0.8616765,0.9613754,0.4544009,0.3903538,0.06259193,0.01283641,1.122398,0.09420488,1.285607,0.6909711,1.058941,0.4968801,0.2271293,0.813595,1.666043,1.792706,0.1717417
2.958114,1.077879,0.03163369,0.8078041,1.907782,0.2254302,0.5374221,0.5151324,0.1798401,0.7781686,0.5574526,0,0,0,0,2.691382,0.8946878,0.5505573,0.6597879,0.6780314,0.5123317,0.8317875,0.875211,0.7563374,0.539503,0.08876143,0.1231091,1.02032,0.06483435,1.342133,0.6208931,1.042303,0.6897287,0.002580616,0.8662897,1.659175,1.972239,0.3061964
2.978016,1.061099,0.05627793,0.6958603,1.900822,0.498372,0.7162581,0.4638283,0.1286554,1.163534,0.7589013,0,0,0,0,2.589396,0.8240308,0.3016879,0.5255726,0.5441027,0.443084,1.011247,0.7698858,0.9169611,0.6282634,0.0008752636,0.267017,0.8976231,0.03283121,1.666296,0.3888657,0.9236587,0.6553975,0.02950942,0.8271925,1.68887,2.026957,0.3419532
2.25668,0.8151951,0.2573265,0.8277657,1.285783,1.294088,0.9624312,0.5634403,0.01247894,1.538164,0.6943222,0,0,0,0,2.234951,0.527821,0.2801593,0.6978833,0.5948312,0.4223927,1.117735,0.6228878,0.9882771,0.6361595,0.07132624,0.3166516,0.9958128,0.2917207,1.534423,0.1931496,1.029454,0.6815761,0.03598591,1.004869,1.656716,1.829493,0.1455744
1.304978,0.8264986,0.3204094,0.7651284,0.9470679,1.834445,0.9903708,0.6328355,0.06189953,1.578003,0.2477416,0,0,0,0,1.743137,0.9927229,0.1652567,0.7350084,0.5197495,0.606655,1.328331,0.6390533,1.015075,0.6250674,0.1731059,0.2018929,0.8954623,0.4171723,1.586087,0.3065583,1.040189,0.5992378,0.2067337,1.296318,1.751151,1.793662,0
1.175425,1.030199,0.3708749,1.177111,0.6865213,2.097375,1.034099,0.8427339,0.3993335,1.627079,0.1250792,0.2784683,0,0,0,1.621108,0.9026056,0,0.4139369,0.2070784,0.750331,1.694144,0.6654395,1.187966,0.3250931,0.1504021,0.1440627,0.9362688,0.2130825,1.844588,0.6076264,1.116951,0.8500729,0.3220813,1.149786,2.003726,1.65188,0
0.7034753,0.7571408,0.4335811,1.512389,0.6145855,2.397921,1.078462,0.7716458,0.7261198,1.484588,0.01118707,0.4294489,0,0,0.6575366,0.8673735,0.9087242,0.2841795,0.3082968,0.3198693,0.6367962,2.067443,0.9093446,1.320983,0.2556375,0.1741633,0.04675918,0.7791216,0.08008186,2.040323,0.7760044,1.206154,0.9242122,0.2479696,1.021851,1.994938,1.686611,0.2381905
0.2870794,0.7257801,0.4645347,1.514138,0.6029247,2.311503,1.07409,0.520593,0.8551295,1.60017,0.0795228,0.4338397,4.500538,0.3461387,0.8523146,0.4923709,0.7529172,0.5866479,0.5240076,0.8397368,0.6228228,2.15548,1.21595,1.299361,0.3191186,0.3737001,0.005809626,0.6394367,0.0006085663,2.123096,1.014578,1.248047,0.7282782,0.03149008,0.9802437,2.04457,1.890781,0.6229076
0.5219103,0.5909632,0.5170861,1.520486,1.08235,2.112979,1.055768,0.1754923,1.07308,1.299068,0.7100174,0.3394514,3.418262,0.8121033,1.058796,0.5771056,0.9183496,0.7956286,0.6916737,0.8269362,0.5570007,2.208179,1.067468,1.419899,0.4454907,0.431564,0,0.4404472,0.05006761,1.910091,1.350826,1.33533,0.7125925,0.08746832,0.9064341,2.321014,2.173307,0.8550047
